,name,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,season,team
73,JJ Roy,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2017/2018,Quetta Gladiators
73,Sohail Tanvir,6,6,19.5,0,150,2,19-Jan,75,7.56,59.5,0,0,1,0,2016/2017,Karachi Kings
73,Sohail Tanvir,6,6,19.5,0,150,2,19-Jan,75,7.56,59.5,0,0,1,0,2015/2016,Karachi Kings
74,Mubasir Khan,7,5,8,0,58,1,19-Jan,58,7.25,48,0,0,1,0,2021/2022,Islamabad United
74,Muhammad Musa,3,3,11,0,95,5,18-Mar,19,8.63,13.2,0,0,0,0,2020/2021,Islamabad United
74,Rizwan Hussain,5,-,-,-,-,-,-,-,-,-,-,-,0,0,2019/2020,Islamabad United
74,SR Patel,8,8,26,0,191,4,15-Jan,47.75,7.34,39,0,0,3,0,2018/2019,Islamabad United
74,Rumman Raees,3,3,9.5,0,51,4,14-Mar,12.75,5.18,14.7,0,0,2,0,2017/2018,Islamabad United
74,SW Tait,9,9,35,1,262,10,23-Feb,26.2,7.48,21,0,0,1,0,2016/2017,Peshawar Zalmi
74,SW Tait,9,9,35,1,262,10,23-Feb,26.2,7.48,21,0,0,1,0,2015/2016,Peshawar Zalmi
75,Muhammad Akhlaq,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2021/2022,Islamabad United
75,Mujeeb Ur Rahman,4,4,16,0,137,2,25-Jan,68.5,8.56,48,0,0,1,0,2020/2021,Peshawar Zalmi
75,Rohail Nazir,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2019/2020,Multan Sultans
75,KA Pollard,13,12,28.4,0,229,5,10-Jan,45.8,7.98,34.4,0,0,10,0,2018/2019,Peshawar Zalmi
75,AD Russell,4,3,10,0,89,4,Feb-30,22.25,8.9,15,0,0,1,0,2017/2018,Islamabad United
75,Tamim Iqbal,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2016/2017,Peshawar Zalmi
75,Tamim Iqbal,6,-,-,-,-,-,-,-,-,-,-,-,2,0,2015/2016,Peshawar Zalmi
76,Muhammad Musa,2,1,2,0,33,0,-,-,16.5,-,0,0,1,0,2021/2022,Islamabad United
76,C Munro,7,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Islamabad United
76,L Ronchi,8,-,-,-,-,-,-,-,-,-,-,-,5,2,2019/2020,Islamabad United
76,Rahat Ali,7,7,23.5,0,176,10,29-Apr,17.6,7.38,14.3,1,0,1,0,2018/2019,Lahore Qalandars
76,Saad Nasim,5,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Peshawar Zalmi
76,RN ten Doeschate,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Karachi Kings
76,RN ten Doeschate,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Karachi Kings
77,C Munro,3,-,-,-,-,-,-,-,-,-,-,-,2,0,2021/2022,Islamabad United
77,B Muzarabani,6,6,18.4,0,144,10,31-Mar,14.4,7.71,11.2,0,0,1,0,2020/2021,Multan Sultans
77,RR Rossouw,9,-,-,-,-,-,-,-,-,-,-,-,3,0,2019/2020,Multan Sultans
77,Rizwan Hussain,4,-,-,-,-,-,-,-,-,-,-,-,2,0,2018/2019,Islamabad United
77,Sabbir Rahman,2,-,-,-,-,-,-,-,-,-,-,-,3,0,2017/2018,Peshawar Zalmi
77,Umar Akmal,7,-,-,-,-,-,-,-,-,-,-,-,7,0,2016/2017,Lahore Qalandars
77,Umar Akmal,7,-,-,-,-,-,-,-,-,-,-,-,7,0,2015/2016,Lahore Qalandars
78,B Muzarabani,4,4,16,0,129,5,18-Mar,25.8,8.06,19.2,0,0,0,0,2021/2022,Multan Sultans
78,Najibullah Zadran,5,-,-,-,-,-,-,-,-,-,-,-,0,0,2020/2021,Karachi Kings
78,JJ Roy,8,-,-,-,-,-,-,-,-,-,-,-,6,0,2019/2020,Quetta Gladiators
78,L Ronchi,12,-,-,-,-,-,-,-,-,-,-,-,10,1,2018/2019,Islamabad United
78,Sahibzada Farhan,6,-,-,-,-,-,-,-,-,-,-,-,3,0,2017/2018,Islamabad United
78,Umar Amin,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2016/2017,Islamabad United
78,Umar Amin,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2015/2016,Islamabad United
79,Naseem Shah,10,10,38.1,0,306,14,20-May,21.85,8.01,16.3,1,1,2,0,2021/2022,Quetta Gladiators
79,Naseem Shah,4,4,8,0,89,0,-,-,11.12,-,0,0,1,0,2020/2021,Quetta Gladiators
79,Rumman Raees,6,6,17.1,0,153,6,29-Mar,25.5,8.91,17.1,0,0,1,0,2019/2020,Islamabad United
79,RR Rossouw,12,2,1.4,0,9,1,3-Jan,9,5.4,10,0,0,6,0,2018/2019,Quetta Gladiators
79,Saif Badar,10,1,2,0,15,1,15-Jan,15,7.5,12,0,0,1,0,2017/2018,Multan Sultans
79,Umar Gul,6,6,21,0,179,4,19-Feb,44.75,8.52,31.5,0,0,1,0,2016/2017,Quetta Gladiators
79,Umar Gul,6,6,21,0,179,4,19-Feb,44.75,8.52,31.5,0,0,1,0,2015/2016,Quetta Gladiators
80,Nasir Nawaz,1,-,-,-,-,-,-,-,-,-,-,-,1,0,2021/2022,Islamabad United
80,Noor Ahmad,4,4,15,0,113,4,19-Feb,28.25,7.53,22.5,0,0,0,0,2020/2021,Karachi Kings
80,SE Rutherford,2,-,-,-,-,-,-,-,-,-,-,-,2,0,2019/2020,Karachi Kings
80,Rumman Raees,8,8,30.2,0,272,8,27-Mar,34,8.96,22.7,0,0,2,0,2018/2019,Islamabad United
80,Salman Irshad,3,3,5,0,60,1,19-Jan,60,12,30,0,0,0,0,2017/2018,Lahore Qalandars
80,Usama Mir,7,7,25,0,195,6,27-Feb,32.5,7.8,25,0,0,1,0,2016/2017,Karachi Kings
80,Usama Mir,7,7,25,0,195,6,27-Feb,32.5,7.8,25,0,0,1,0,2015/2016,Karachi Kings
81,Noor Ahmad,4,4,16,0,138,2,24-Jan,69,8.62,48,0,0,1,0,2021/2022,Quetta Gladiators
81,SR Patel,4,2,5,0,53,2,26-Jan,26.5,10.6,15,0,0,1,0,2020/2021,Lahore Qalandars
81,Salman Butt,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2019/2020,Lahore Qalandars
81,AD Russell,4,4,11,0,118,1,25-Jan,118,10.72,66,0,0,2,0,2018/2019,Multan Sultans
81,Sameen Gul,8,8,28,0,204,6,21-Feb,34,7.28,28,0,0,1,0,2017/2018,Peshawar Zalmi
81,JM Vince,7,-,-,-,-,-,-,-,-,-,-,-,3,0,2016/2017,Karachi Kings
81,JM Vince,7,-,-,-,-,-,-,-,-,-,-,-,3,0,2015/2016,Karachi Kings
82,SR Patel,5,5,12,0,101,1,31-Jan,101,8.41,72,0,0,0,0,2021/2022,Lahore Qalandars
82,NLTC Perera,3,3,7,0,56,4,10-Feb,14,8,10.5,0,0,0,0,2020/2021,Karachi Kings
82,Salman Irshad,5,5,13,0,143,7,30-Apr,20.42,11,11.1,1,0,0,0,2019/2020,Lahore Qalandars
82,Saad Ali,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Lahore Qalandars
82,DJG Sammy,11,3,4.4,0,52,2,21-Feb,26,11.14,14,0,0,5,0,2017/2018,Peshawar Zalmi
82,Wahab Riaz,9,9,34.2,0,245,15,17-Mar,16.33,7.13,13.7,0,0,1,0,2016/2017,Peshawar Zalmi
82,Wahab Riaz,9,9,34.2,0,245,15,17-Mar,16.33,7.13,13.7,0,0,1,0,2015/2016,Peshawar Zalmi
83,Qasim Akram,5,2,2,0,18,1,7-Jan,18,9,12,0,0,4,0,2021/2022,Karachi Kings
83,R Powell,8,1,1,0,8,0,-,-,8,-,0,0,3,0,2020/2021,Peshawar Zalmi
83,PD Salt,1,-,-,-,-,-,-,-,-,-,-,-,1,0,2019/2020,Islamabad United
83,Sahibzada Farhan,3,-,-,-,-,-,-,-,-,-,-,-,2,0,2018/2019,Islamabad United
83,KC Sangakkara,10,-,-,-,-,-,-,-,-,-,-,-,9,1,2017/2018,Multan Sultans
83,SR Watson,6,6,14,0,117,1,Jan-37,117,8.35,84,0,0,2,0,2016/2017,Islamabad United
83,SR Watson,6,6,14,0,117,1,Jan-37,117,8.35,84,0,0,2,0,2015/2016,Islamabad United
84,Rahmanullah Gurbaz,6,-,-,-,-,-,-,-,-,-,-,-,4,0,2021/2022,Islamabad United
